,original tweet,neutral score,polar score,trimmed tweet,latitude,longitude
256,Updated: Incident on #NJ70 EB at US 206 https://t.co/qjaaefNr3t,1.0,0.0,updated incident new jersey 70 east bound us 206 https co qjaaef nr3t ,40.71455,-74.00714
258,Cleared: Incident on #TaconicStateParkway NB at Exit - Pudding St.,0.851,0.1027,cleared incident taconic state park way route h bound exit pudding st  ,40.71455,-74.00714
259,Updated: Construction on #US19TruckRoute NB at Doremus Ave https://t.co/FVBm0Qva9r,1.0,0.0,updated construction us19truck route route h bound doremus ave https co fvbm0qva9r ,40.71455,-74.00714
260,Updated: Incident on #B63Bus at Brookyln https://t.co/oBFRzzuLAK,1.0,0.0,updated incident b63bus brookyln https co bfrzzu lak ,40.71455,-74.00714
262,Updated: Incident on #PaulusHook from Paulus Hook to Pier 11/Wall Street Terminal https://t.co/JWqx9MPxbI,1.0,0.0,updated incident paulus hook paulus hook pier 11 wall street terminal https co jwqx9mpxb ,40.707188,-74.01081
264,Incident on #B38Bus EB at Lafayette Avenue:Marcy Avenue https://t.co/c2bbRCC8k4,1.0,0.0,incident b38bus east bound lafayette avenue marcy avenue https co c2bb rcc8k4 ,40.822227,-73.856705
265,Cleared: Construction on #US20 EB from Bartz Drive to NY-98 Overpass,0.877,0.1027,cleared construction us20 east bound ba route z drive new york 98 overpass ,40.71455,-74.00714
269,Cleared: Construction on #NJ47 Both directions at South of NJ 83,0.877,0.1027,cleared construction new jersey 47 directions south new jersey 83 ,44.22149,-79.43212
271,Updated: Incident on #Q58Bus at Brookyln https://t.co/oBFRzzdaJc,1.0,0.0,updated incident q58bus brookyln https co bfrzzda jc ,40.71455,-74.00714
273,Incident on #B69Bus Both directions at Vanderbilt Avenue: Sterling Place https://t.co/fv9P1tPhVp,1.0,0.0,incident b69bus directions vanderbilt avenue sterling place https co fv9p1t ph vp ,40.754025,-73.97721
