,original tweet,neutral score,polar score,trimmed tweet,latitude,longitude
190,Closure on #2NDAVE SB from E 64TH ST to E 63RD ST https://t.co/NpNAljFioc,1.0,0.0,closure 2ndave south bound e 64th st e 63rd st https co np nalj fioc ,40.765694,-73.96883
191,Cleared: Construction on #NY77 Both directions at Marble Rd.,0.851,0.1027,cleared construction new york 77 directions marble rd  ,40.71455,-74.00714
193,Cleared: Construction on #NY30 Both directions from Lewey Lake Campground to Griffin Road.,0.896,0.1027,cleared construction new york 30 directions lewey lake campground griffin road  ,43.50262,-74.17981
194,Cleared: Construction on #NY51 Both directions at END ROUTE; NY 5 on Ramp; Ilion,0.896,0.1027,cleared construction new york 51 directions end route new york 5 ramp ilion ,40.71455,-74.00714
196,Cleared: Construction on #NJ34 Both directions from North of Paynters Rd to South of I-195,0.909,0.1027,cleared construction new jersey 34 directions route h paynters rd south 195 ,40.71455,-74.00714
197,Cleared: Incident on #4Line SB from 125 St to Grand Central - 42 St,0.714,0.5267,cleared incident 4line south bound 125 st grand central 42 st ,7.11519,-73.13975
201,Incident on #QLine at Coney Island - Stillwell Av https://t.co/9ZSg07bCRS,1.0,0.0,incident qline coney island stillwell av https co 9zsg07b crs ,40.858467,-73.83363
202,Updated: Incident on #US40 Both directions at NJ 50/CR 616/Mill St https://t.co/wHexUVrJF3,1.0,0.0,updated incident us40 directions new jersey 50 cr 616 mill st https co w hex uvr jf3 ,40.67591,-74.00483
203,Cleared: Construction on #NJ47 Both directions from South of CR 611/Tyler Rd to Holly Rd,0.909,0.1027,cleared construction new jersey 47 directions south cr 611 tyler rd holly rd ,40.71455,-74.00714
204,tweet,1.0,0.0,tweet ,41.32125,-74.34017
205,Cleared: Incident on #NJ35 SB at North of CR 524/Atlantic Ave,0.877,0.1027,cleared incident new jersey 35 south bound route h cr 524 atlantic ave ,40.68511,-73.980316
208,Incident on #M15Bus SB at 2 Av/E 66 St https://t.co/yrqQvfkPnY,1.0,0.0,incident m15bus south bound 2 av e 66 st https co yrq qvfk pn ,40.71455,-74.00714
210,Incident on #NJ70 Both directions at East of NJ 41/CR 154 https://t.co/SWUdpWRmhc,1.0,0.0,incident new jersey 70 directions east new jersey 41 cr 154 https co swudp wrmhc ,44.22149,-79.43212
211,Incident on #I890 WB from Exit 6; Michigan Avenue to Exit 5; Broadway https://t.co/rb6Vw7W0m0,1.0,0.0,incident i890 west bound exit 6 michigan avenue exit 5 broad way https co rb6vw7w0m0 ,40.70504,-74.01394
212,Cleared: Construction on #US9 NB at North of CR 626/Cross St,0.877,0.1027,cleared construction us9 route h bound route h cr 626 cross st ,40.853397,-73.78912
213,Cleared: Construction on #Montauk Both directions from Babylon to Speonk,0.865,0.1027,cleared construction montauk directions babylon speonk ,40.69573,-73.32601
214,Cleared: Construction on #NY5 WB at Route 92 Junction Lyndon,0.865,0.1027,cleared construction new york 5 west bound route 92 junction lyndon ,42.92867,-78.02612
215,Incident on #ELine at Jackson Hts - Roosevelt Av https://t.co/dnP5sfTZOH,1.0,0.0,incident eline jackson hts roosevelt av https co dn p5sf tzoh ,40.747864,-73.88194
